web-scraper-order,web-scraper-start-url,nama,caption,ulasan,ulasan_preprocessed,label,sentiment,score;;;;;;
Disepanjang jalan ada beberapa kelompok orang berpakaian Teletubes, Sharina,Blacksheep, dengan memberi uang sekadarnya kita bisa berfoto ria bersama mereka.;;;;;;
Banyak objek di Dieng Plateau, kawah Dieng, Telaga warna,pengilon ,kawah candradimuka,air terjun dan danau diatas yang masih sulit jalannya..Kami memilih ke Telaga warna yang konon katanya warna airnya bisa berubah .Sayang sampai disana air telaga cuma sedikit sehingga kita tidak bisa menikmati perubahan warna.;;;;;;
Setelah belanja oleh2 kentang dan manisan carica,kami meneruskan perjalanan ke danau Menjer ,yang akan saya ceritakan nanti.;;;;;;
"Sesungguhnya indah sekali pemandangan di Dieng Plateau ini,sayang kurang terawat,masih banyak sampah ,Toilet kurang,gunung2 tampak gundul penuh dengan pohon kentang,rawan lomgsor,semoga jadi perhatian yang berwenang."",""masuk kawasan dieng pemandangan indah , awan tipi menutup gunung2 , gambaran kitab ramayana , swargaloka ? .jalan lumayan bagu , kelokan mendaki , hati-hati.banyak ditemui kebun kentang pohon carica central kota dieng ? ramai lomba sepeda motor , mencari jalan candi2 didataran dieng , 4 bangunana candi hindu , sayang utuh , candi bima , candi gatotkaca .dari berjalan menyusuri jalan pave museum , didepannya warung menjual topi , syal , carica manisan , kripik , goreng kentang , jamur goreng , terong belanda , paprica kha dieng dll , soto ayam , ayam goreng , lumayan sarapan pagi .. disepanjang jalan kelompok orang berpakaian teletub , sharina , blacksheep , uang berfoto ria . objek dieng plateau , kawah dieng , telaga warna , pengilon , kawah candradimuka , air terjun danau diata sulit jalannya .. memilih telaga warna konon warna airnya berubah .sayang disana air telaga menikmati perubahan warna . belanja oleh2 kentang manisan carica , meneruskan perjalanan danau menjer , ceritakan . sesungguhnya indah pemandangan dieng plateau , sayang terawat , sampah , toilet , gunung2 gundul penuh pohon kentang , rawan lomgsor , semoga perhatian berwenang ."",negative,""[{'label': 'negative', 'score': 0.9912103414535522}]"",0.9912103414535522";;;;;;
"1680415691-148,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Mariawinds0r,Indah dipandang mata,""Keindahan Dieng sudah menyebar kemana-mana. Jika anda sedang berkunjung ke kota Jogja atau Magelang, sangat saya sarankan untuk meneruskan perjalanan Anda dan mengunjungi Dieng. Tempat ini sunggu indah, berada di dataran tinggi, menawarkan udara yang sejuk, alam yang indah dan tak lupa untuk membeli oleh-oleh khas Dieng yaitu Carica. Carica adalah manisan buah yang seperti pepaya hanya ukurannya kecil."",""keindahan dieng menyebar kemana-mana . berkunjung kota jogja magelang , sarankan meneruskan perjalanan mengunjungi dieng . sunggu indah , dataran , menawarkan udara sejuk , alam indah lupa memb oleh-oleh kha dieng carica . carica manisan buah pepaya ukurannya ."",positive,""[{'label': 'positive', 'score': 0.8326906561851501}]"",0.8326906561851501";;;;;;
"1680415691-149,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Edii S,Sunrise @cikunir dieng,""Dingiinnnn sekali saat ada disana..ccok pake jaket spatu dan shall,perjalan start jam 8 malam dri jogja sampai dihomestay jam 2 pagii...istirahat sjenak berhubung ada tmen yg lemass abis mabokk hehehe...naik cikunir jam 4 pagii kereenn bisa liat sunrise yg amazing bnged:D"",""dingiinnnn disana .. ccok pake jaket spatu shall , perjalan start jam 8 malam dri jogja dihomestay jam 2 pagii ... istirahat sjenak berhubung tmen yg lemass abi mabokk heheh ... cikunir jam 4 pagii kereenn liat sunris yg amaz bnged : d"",negative,""[{'label': 'negative', 'score': 0.7915467023849487}]"",0.7915467023849487";;;;;;
"1680415691-150,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,syifahanoum,Salah satu Desa tertinggi di Indonesia,""perjalanan ke dataran tinggi dieng kita akan di suguhi dengan pemandangan yang indah dan hawa yang sejuk jika lewat jalur wonosobo . Di kawasan dataran tinggi dieng ada beberapa objek wisata seperti , gunung prau , bukit sikunir , kawah sikidang, candi arjuna , dll . Makanan khas di dieng adalah mie ongklok . Oleh oleh yang banyak disana carica papaya ."",""perjalanan dataran dieng suguhi pemandangan indah hawa sejuk jalur wonosobo . kawasan dataran dieng objek wisata , gunung prau , bukit sikunir , kawah sikidang , candi arjuna , dll . makanan kha dieng mie ongklok . disana carica papaya ."",negative,""[{'label': 'negative', 'score': 0.9238530397415161}]"",0.9238530397415161";;;;;;
"1680415691-151,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Dian P,Sejuk dan menenangkan,""Pastikan kaki dalam keadaan kuat dan membawa penutup hidung, terutama kalau mau melihat kolam belerangnya. Dataran ini dingin dan menyejukkan. Candi-candinya kecil, tidak semasif Borobudur dan Prambanan. Kalau ada orang lokal, lebih seru buat dijadikan guide. Mereka mestinya lebih paham tentang sejarah di sana."",""pastikan kaki kuat membawa penutup hidung , kolam belerangnya . dataran dingin menyejukkan . candi-candinya , semasif borobudur prambanan . orang lokal , seru dijadikan guid . mestinya paham sejarah ."",negative,""[{'label': 'negative', 'score': 0.8656541705131531}]"",0.8656541705131531";;;;;;
"1680415691-152,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,pawiro24,Suasana tenang dan sejuk ...,""Berjalan jalan di dataran tinggi dieng sangat cocok setelah seminggu beraktivitas,  tempatnya tenang dan suhu udaranya berrrrrr.... dingin , sangat segar membuat kita fresh..sejauh kita memandang akan kita liat hamparan sayur2an dan juga aneka bunga pegunungan...banyak juga penginapan disana untuk kita bermalam."",""berjalan jalan dataran dieng cocok seminggu beraktivita , tempatnya tenang suhu udaranya berrrrrr .... dingin , segar fresh .. memandang liat hamparan sayur2an aneka bunga pegunungan ... penginapan disana bermalam ."",positive,""[{'label': 'positive', 'score': 0.7577807307243347}]"",0.7577807307243347";;;;;;
"1680415691-153,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,fajaradiartha,Kota Tertinggi di Pulau Jawa,""Perjalanan ke Dieng dari kota manapun itu (Yogyakarta, Purwakarta, atau Semarang) akan membutuhkan waktu yang lama dan melelahkan, apalagi bila anda menyetir sendiri. Namun ketika sampai anda akan disuguhkan dengan sepaket wisata alam yang luar biasa, tidak ada duanya di pulau Jawa.";;;;;;
;;;;;;
Objek wisata di Dieng berupa candi, kawah vulkanis, telaga, bukit sunrise, atau hanya sekedar berputar-putar mengelilingi kota kecil tertinggi di Pulau Jawa dan menikmati kehidupan warganya yang sebagian besar bercocok tanam.;;;;;;
;;;;;;
Bila berkunjung ke Dieng, yang wajib dibawa adalah baju musim dingin karena pada malam hari akan sangat dingin. Bagi yang tidak mempersiapkan diri tentunya dapat membeli perlengkapan penghangat tubuh di toko sekitar.;;;;;;
;;;;;;
Penginapan saat ini sudah sangat banyak, beberapa di antara terkenal di dunia maya hingga ke penjuru dunia. Namun yang perlu dipastikan adalah anda harus booking dari jauh hari. Tidak disarankan untuk datang tanpa sebelumnya booking penginapan.;;;;;;
;;;;;;
Transportasi dapat menggunakan bus umum yang akan mengantarkan anda ke objek-objek wisata sekitar, tapi akan lebih nyaman apabila anda menyewa kendaraan sendiri. Hanya saja bersiap untuk biaya parkir mobil Rp 5,000 di seluruh objek wisata.;;;;;;
;;;;;;
"Tempat makan dapat ditemui dimana-mana jadi anda tidak perlu khawatir. Sudah banyak blog-blog yang mengulas restoran / warung di Dieng yang dapat anda coba lebih dahulu. Soal harga anda tidak perlu khawatir, dijamin tidak akan menguras kantong."",""perjalanan dieng kota manapun ( yogyakarta , purwakarta , semarang ) membutuhkan melelahkan , menyetir . disuguhkan sepaket wisata alam , duanya pulau jawa . objek wisata dieng candi , kawah vulkani , telaga , bukit sunris , sekedar berputar-putar mengelilingi kota tertinggi pulau jawa menikmati kehidupan warganya bercocok tanam . berkunjung dieng , wajib dibawa baju musim dingin malam dingin . memb perlengkapan penghangat tubuh toko . penginapan , terken dunia maya penjuru dunia . book . disarankan book penginapan . transportasi bu mengantarkan objek-objek wisata , nyaman menyewa kendaraan . biaya parkir mobil rp 5,000 objek wisata . makan ditemui dimana-mana khawatir . blog-blog mengula restoran / warung dieng coba . harga khawatir , dijamin mengura kantong ."",negative,""[{'label': 'negative', 'score': 0.6198102831840515}]"",0.6198102831840515";;;;;;
"1680415691-154,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,vido2015,Wisata alam komplet,""Bulan Juni, Juli, Agustus merupakan waktu terbaik untuk berkunjung ke dataran tinggi Dieng. Sebab, kita bisa menikmati golden sunrise hingga merasakan dinginnya Dieng, bahkan jika beruntung bisa melihat es menyelimuti rerumputan saat pagi (suhu bisa mencapai minus 2 derajat celsius). Wow, pengalaman menakubkan bukan bagi kita yang tinggal di negara tropis? Kebetulan bulan ini saya berkesempatan menyaksikan Dieng Culture Festival. Pertunjukan budaya plus seni yang dikemas secara menarik. Ada Jazz Atas Awan, festival lampion, pertunjukan wayang kulit, hingga ritual pemotongan rambut """"gembel"""" untuk anak asli Dieng. Di Dieng juga terdapat tempat wisata yang komplet. Mulai beragam candi (Arjuna, Bima, dll), Kawah Sikidang, telaga (Menjer, Telaga Warna, dll), treking Bukit Sikunir, hingga Gunung Prau. Yang penting, tentu jangan salah kostum ya. Jangan lupa pula beli oleh-oleh manisan buah carica khas Dieng."",""juni , juli , agustu terbaik berkunjung dataran dieng . , menikmati golden sunris merasakan dinginnya dieng , beruntung es menyelimuti rerumputan pagi ( suhu mencapai minu 2 derajat celsiu ) . wow , pengalaman menakubkan tinggal negara tropi ? berkesempatan menyaksikan dieng cultur festiv . pertunjukan budaya plu seni dikema menarik . jazz awan , festiv lampion , pertunjukan wayang kulit , ritual pemotongan rambut `` gembel '' anak asli dieng . dieng wisata komplet . beragam candi ( arjuna , bima , dll ) , kawah sikidang , telaga ( menjer , telaga warna , dll ) , treke bukit sikunir , gunung prau . , salah kostum ya . lupa beli oleh-oleh manisan buah carica kha dieng ."",positive,""[{'label': 'positive', 'score': 0.9922295212745667}]"",0.9922295212745667";;;;;;
"1680415691-155,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Frey W,Ntabs,""Perjalanan 12 jam Aceh - Dieng terbayar lunas. Dieng Culture Festival nya petjah . Hanya saja karena peminat/pengunjung yang terlalu banyak mengakibatkan bbrp acara kurang terorganisir akibat pengunjung yg dengan """"sukarela"""" menaiki panggung, membuang sampah dll. Akan tetapi dieng plateau tetap merupakan tempat yang wajib dikunjungi meskipun diluar dari acara DCF . Spot-spot wajib seperti gunung Prau, candi Arjuna, museum Kailasa dan kawah Sikidang jangan sampai terlewatkan. Ada juga bbrp hidden spot seperti padang sabana di dekat kawah sikidang juga mantab dijadikan spot buat foto - foto."",""perjalanan 12 jam aceh - dieng terbayar luna . dieng cultur festiv nya petjah . peminat/pengunjung mengakibatkan bbrp acara terorganisir akibat pengunjung yg `` sukarela '' panggung , membuang sampah dll . dieng plateau wajib dikunjungi diluar acara dcf . spot-spot wajib gunung prau , candi arjuna , museum kailasa kawah sikidang terlewatkan . bbrp hidden spot padang sabana kawah sikidang mantab dijadikan spot foto - foto ."",positive,""[{'label': 'positive', 'score': 0.7784865498542786}]"",0.7784865498542786";;;;;;
"1680415691-156,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,delfazarro,Tempat WIsata Luar Biasa,""Teramat sangat luar biasa berkunjung ke Dieng, disamping disuguhkan pemandangan yang benar2 luar biasa tedapat pula objek wisata yang  sangat bagus seperti telaga warna, kawah sikidang dan lain sebagainya. sangat di rekomendasikan untuk wisata bersama keluarga karena banyak hotel / losmen murah di Dieng dan yang popuker yaitu Losmen Bu Djono yang menawarkan penginapan teramat sangat murah."",""teramat berkunjung dieng , disamp disuguhkan pemandangan benar2 tedapat objek wisata bagu telaga warna , kawah sikidang . rekomendasikan wisata keluarga hotel / losmen murah dieng popuk losmen bu djono menawarkan penginapan teramat murah ."",positive,""[{'label': 'positive', 'score': 0.6591686010360718}]"",0.6591686010360718";;;;;;
"1680415691-157,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,hartono86,Udara yg sangat dingin serta view yang sangat indah,""Area wisata daerah jawa tengah yg konon kabarnya adalah dataran tinggi berpenghuni no 2 tertinggi setelah tibet dan juga dikenal sebagai atapnya Pulau Jawa. Saat saya menginap di homestay Mawar merah di akhir Juli sd awal Agustus 2015, cuaca sangat dingin karena kemarau panjang.  bahkan hari terakhir ada embun es pagi hari.  Jadi saran saya, jika menginap didaerah ini, harap bawa jacket tebal, kupluk dan sarung tangan plus syal jika perlu. Suhu diperkirakan sd 4 derajat celcius pada malam hari saat kemarau panjang terutama Juli, Agustus.";;;;;;
;;;;;;
Saya sedang mengikuti dieng culture festivaln (DCF) 2015, dimana diadakan setiap tahun.  Banyak obyek wisata yang dapat dikunjungi, serta perjalanan ke Dieng dari Pekalongan pun, kami diberi suguhan pemandangan yang sangat indah.;;;;;;
;;;;;;
Jangan lupa menikmati Golden Sunrise di bukit Sikunir, desa Sembungan, sekitar 7km dari lokasi DCF, kita masih nanjak lagi naik sekitar 30 menit yang cukup melelahkan dan pastinya terbayar saat kita melihat golden sunrise.  Berangkat jam 4.00an sehingga tidak ketinggalan untuk melihat golden sunrise, jangan lupa bawa masker, karena jalanan yg sangat berdebu, terutama saat jalan pulang.;;;;;;
;;;;;;
"Makanan mie ongklok khan wonosobo juga jangan sampai terlewatkan. (hampir mirip dengan Lomie tapi lebih tidak berkecap) dan satu lagi khan dieng adalah CARICA (pepaya dieng)."",""area wisata daerah jawa yg konon kabarnya dataran berpenghuni no 2 tertinggi tibet diken atapnya pulau jawa . menginap homestay mawar merah juli sd agustu 2015 , cuaca dingin kemarau . embun es pagi . saran , menginap didaerah , harap bawa jacket tebal , kupluk sarung tangan plu syal . suhu sd 4 derajat celciu malam kemarau juli , agustu . mengikuti dieng cultur festivaln ( dcf ) 2015 , dimana diadakan . obyek wisata dikunjungi , perjalanan dieng pekalongan , suguhan pemandangan indah . lupa menikmati golden sunris bukit sikunir , desa sembungan , 7km lokasi dcf , nanjak 30 menit melelahkan pastinya terbayar golden sunris . berangkat jam 4.00an ketinggalan golden sunris , lupa bawa masker , jalanan yg berdebu , jalan pulang . makanan mie ongklok khan wonosobo terlewatkan . ( lomi berkecap ) khan dieng carica ( pepaya dieng ) ."",positive,""[{'label': 'positive', 'score': 0.9025006294250488}]"",0.9025006294250488";;;;;;
"1680415691-158,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,kironosodik,Dingin dan Segarnya Dataran Tinggi Dieng,""Wisata alam yang sangat direkomendasikan untuk dikunjungi ketika berkunjung ke Banjarnegara atau Wonosobo baik bersama teman atau keluarga. Mulai dari pemandangan alam yang indah, bangunan candi kuno yang bersejarah, dan aliran udara yang sangat menyegarkan."",""wisata alam direkomendasikan dikunjungi berkunjung banjarnegara wonosobo teman keluarga . pemandangan alam indah , bangunan candi kuno bersejarah , aliran udara menyegarkan ."",negative,""[{'label': 'negative', 'score': 0.514476478099823}]"",0.514476478099823";;;;;;
"1680415691-159,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,try a,Dieng beautifull,Bersama keluarga saya merasa senang dengan panorama yang sangat indah keren tidak akan menyesal pokonya,keluarga senang panorama indah keren menyes pokonya,negative,""[{'label': 'negative', 'score': 0.8422636985778809}]"",0.8422636985778809";;;;;;
"1680415691-160,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Ojonk,Luar biasa......,""Tempat yang sangat luar biasa, pegunungan yang indah, udara yang sejuk dan segar. Banyak tempat wisata yang dapat dilihat, mulai dari candi2, telaga warna, hingga kawah sekidang. Disarankan untuk berangkat di waktu subuh agar bisa melihat matahari terbit."","", pegunungan indah , udara sejuk segar . wisata , candi2 , telaga warna , kawah sekidang . disarankan berangkat subuh matahari terbit ."",negative,""[{'label': 'negative', 'score': 0.8273555636405945}]"",0.8273555636405945";;;;;;
"1680415691-161,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Supardi73,Eropa Indonesia,""Eropa Indonesia, itulah gambatan yang pas untuk wisata Dataran Tinggi Dieng. Iklim yang beda dengan dataran lainnya di Jawa... sayang bus besar sulit menembus lokasi ini. Siapkan kendaraan super ekstra"",""eropa indonesia , gambatan pa wisata dataran dieng . iklim beda dataran jawa ... sayang bu sulit menembu lokasi . siapkan kendaraan super ekstra"",negative,""[{'label': 'negative', 'score': 0.9806705713272095}]"",0.9806705713272095";;;;;;
"1680415691-162,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Indra S,Saya tidak menyesal bangun sebelum ayam berkokok,""Penasaran dengan keindahan matahari terbit di bukit Sikunir, membuat saya rela untuk bangun jam 3.30 pagi ditengah dinginnya cuaca Dieng. Dengan baju berlapis, masih ditambah sarung tangan dan tutup kepala, rasanya dingin tetap menggigit tulang, namun  rasa penasaran, membuat saya rela untuk mendaki bukit Sikunir ditemani lampu senter seadanya.";;;;;;
"Ternyata keindahan alam  sekitar pada saat menjelang matahari terbit, membuat perjalanan yang melelahkan terhapus dan saya sangat tidak menyesal bangun pagi-pagi mendahului kokok ayam...."",""penasaran keindahan matahari terbit bukit sikunir , rela bangun jam 3.30 pagi ditengah dinginnya cuaca dieng . baju berlapi , ditambah sarung tangan tutup kepala , dingin menggigit tulang , penasaran , rela mendaki bukit sikunir ditemani lampu senter seadanya . keindahan alam menjelang matahari terbit , perjalanan melelahkan terhapu menyes bangun pagi-pagi mendahului kokok ayam ...."",negative,""[{'label': 'negative', 'score': 0.9621801376342773}]"",0.9621801376342773";;;;;;
"1680415691-163,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,iwan s,""Dieng Memang Luar Biasa, Love Indonesia"",""Dataran ini berrada pada ketinggian 2100 m dpl dan memiliki suhu udara pada saat-saat tertentu mcapai 15 ' c di siang hari. Berada di antara kabupaten Wonosobo dan Kabupaten Banjarnegara, keindahan Dieng Plateu tidak terlukiskan. Ada telaga, ada kompleks candi, ada air terjun, ada kawah, ada kawah mati dsb yang begitu indah. Belum lagi legenda yang menyebutkan bahwa Dieng adalah tempat para dewa bersemayam...hmmm. Pastinya keindahan Dieng sulit dilukiskan dengan kata-kata. Luarrrr biasaaa."",""dataran berrada ketinggian 2100 m dpl memiliki suhu udara saat-saat mcapai 15 ' c siang . kabupaten wonosobo kabupaten banjarnegara , keindahan dieng plateu terlukiskan . telaga , komplek candi , air terjun , kawah , kawah mati dsb indah . legenda dieng dewa bersemayam ... hmmm . pastinya keindahan dieng sulit dilukiskan kata-kata . luarrrr biasaaa ."",positive,""[{'label': 'positive', 'score': 0.9784495234489441}]"",0.9784495234489441";;;;;;
"1680415691-164,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Dwi M,Cari Dingin di Dieng,""Lebaran kemarin main ke Dieng, ternyata disini dinginnya super. Padahal dijogja panasnya pool, eh disini dinginnya pool juga. Tips kesini bawa mantel yang tebel, temen saya ada yang nyoba gak pakai jaket, ternyata baru sampe depann aja udah menyerah, melambaikan tangan. Untungnya rombongan membawa jaket lebih.";;;;;;
"homestay 500rb, makan rata2 15rb, tips lain beli bensin diPOM aja, disini bensin ecer dua kali lipat,hha"",""lebaran kemarin main dieng , dinginnya super . dijogja panasnya pool , eh dinginnya pool . tip kesini bawa mantel tebel , temen nyoba gak pakai jaket , samp depann aja udah menyerah , melambaikan tangan . untungnya rombongan membawa jaket . homestay 500rb , makan rata2 15rb , tip beli bensin dipom aja , bensin ecer kali lipat , hha"",negative,""[{'label': 'negative', 'score': 0.9814462065696716}]"",0.9814462065696716";;;;;;
"1680415691-165,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,triyono88,surga dunia,""Tidak salah kalau kawasan dataran tinggi dieng di sebut sebagai surga dunia, di setiap sudut pasti ada tempat yang menawan, di kawasan telaga warna saja sudah terdapat beberapa goa yang cukup menari kemudian naik dikit ada beberapa candi yang sangat megah juga terdapat museumnya. beberapa kawah juga tak kalah indahnya dan cocok untuk di abadikan. di puncak kita juga dapat menikmati indahnya sunrise di pagi hari dan pastinya kita serasa melayang karena di bawah kita terdapat banyak awan putih sehingga tdk salah kalau si sebut negeri di atas awan."",""salah kawasan dataran dieng surga dunia , sudut menawan , kawasan telaga warna goa menari dikit candi megah museumnya . kawah kalah indahnya cocok abadikan . puncak menikmati indahnya sunris pagi pastinya serasa melayang awan putih tdk salah si negeri awan ."",positive,""[{'label': 'positive', 'score': 0.9631180763244629}]"",0.9631180763244629";;;;;;
"1680415691-166,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Kamandanu,Awesome Indonesia ada di Dieng,""Tidak bisa dilukiskan keindahan yg ada di dataran tinggi Dieng, tidak heran banyak julukan untuk Dieng, Land of God, Tanah nya para Dewa karena memang indah sekali dan spectacular ditambah udara yg fresh, lahan pertanian yg subur, penduduk nya yg ramah, lokasi wisata banyak pilihan dan semua nya magnificent . ";;;;;;
kalo kesini disarankan minimal sehari dan menginap jadi bisa explore keindahan alam yg memang banyak banget ada di Dieng.;;;;;;
berkunjung ke Dieng semakin membuat kita semakin bersyukur atas nikmat dan karunia Nya . ;;;;;;
"Awesome Indonesia."",""dilukiskan keindahan yg dataran dieng , heran julukan dieng , land of god , tanah nya dewa indah spectacular ditambah udara yg fresh , lahan pertanian yg subur , penduduk nya yg ramah , lokasi wisata pilihan nya magnific . kalo kesini disarankan minim sehari menginap explor keindahan alam yg banget dieng . berkunjung dieng bersyukur nikmat karunia nya . awesom indonesia ."",positive,""[{'label': 'positive', 'score': 0.9815327525138855}]"",0.9815327525138855";;;;;;
"1680415691-167,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,novar728,Pengalaman Sunrise yang berbeda,""Saya sangat menyukai momentum matahri terbit atau sunrise. Salah satu tempat yang sangat indah di Indonesia untuk menyaksikan sunrise ternyata ada di dataran tinggi dieng. Melihat sunrise di sini dengan pemandangan bukit dan gunung prau bak lukisan pemandangan alam menjadi nyata. jika matahari sudah mulai naik dan hari menjadi terang, kumpulan awan bisa kita lihat dengan jelas berdada di bawah kita. ini lah mengapa dieng disebut negri di atas awan."",""menyukai momentum matahri terbit sunris . salah indah indonesia menyaksikan sunris dataran dieng . sunris pemandangan bukit gunung prau bak lukisan pemandangan alam nyata . matahari terang , kumpulan awan lihat berdada . dieng negri awan ."",positive,""[{'label': 'positive', 'score': 0.9638816714286804}]"",0.9638816714286804";;;;;;
"1680415691-168,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,nandinho_id,Dataran Tinggi Dieng,""Penasaran dengan tagline puncak tertinggi di pulau jawa akhirnya sekitar bulan oktober 2014 saya pergi karya wisata ke puncak dieng..cie..karya wisata..ky anak sekolahan aja..hehehe";;;;;;
;;;;;;
Perjalan dari surabaya naek kereta api naek sancaka jam 8 pagi nyampe jogja jam 1 siang..di stasiun tugu udah dijemput tmn dari jakarta yg emang janjian mau ke dieng.;;;;;;
;;;;;;
Jam 3 siang otewe ke dieng naek motor..buset lumayan jauh ternyata..harus lewat magelang..muntilan..temanggung dan baru wonosobo..itupun belum perjalanan menuju desa sembungan sebagai tujuan kami...(nyampe sembungan sekitar pukul 10 malam);;;;;;
;;;;;;
Rekom banget lah buat tripnke dieng banyak tempat yg bagus buat dinikmati..mulai pucak sikunir..telaga warna..candi pandawa..dan masih banyak lagi..;;;;;;
*perjalanan tgl 24 Oktober 2015*;;;;;;
"Follow instagram @nandinho_id untuk liat foto2 perjalanan ke dieng."",penasaran taglin puncak tertinggi pulau jawa oktob 2014 pergi karya wisata puncak dieng .. cie .. karya wisata .. ky anak sekolahan aja .. heheh perjalan surabaya naek kereta api naek sancaka jam 8 pagi nyamp jogja jam 1 siang .. stasiun tugu udah dijemput tmn jakarta yg emang janjian dieng . jam 3 siang otew dieng naek motor .. buset lumayan .. magelang .. muntilan .. temanggung wonosobo .. itupun perjalanan desa sembungan tujuan ... ( nyamp sembungan 10 malam ) rekom banget tripnk dieng yg bagu dinikmati .. pucak sikunir .. telaga warna .. candi pandawa .. .. * perjalanan tgl 24 oktob 2015 * follow instagram @ nandinho_id liat foto2 perjalanan dieng .,positive,""[{'label': 'positive', 'score': 0.5940645337104797}]"",0.5940645337104797";;;;;;
"1680415691-169,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Agus S,Suatu tempat yang membuat saya selalu kangen untuk balik lagi ke tempat ini,""Daerahnya luar biasa indah.. Sepanjang Jalur menuju dieng sangat mempesona apalagi saat banyak kabut, memang sangat pantas jika disebut """"Negeri Di Atas Awan"""".";;;;;;
;;;;;;
Penginepannya rata-rata hanya berupa homestay, kapan ya kira-kira ada penginapan yang lumayan lebih enak, misal hotel atau penginepan yang seperti model kos kosan exlusive?;;;;;;
;;;;;;
Pagi hari di pasar kejajar sangat banyak ditemukan jajanan tradisional (naik bus dari dieng plateau murah tarifnya cuma Rp.2000). ;;;;;;
;;;;;;
Makanan yang wajib dicoba jika menuju dieng adalah Mie Ongklok, Carica, Tempe Kemul dan wedang purwaceng (original, +kopi atau +susu);;;;;;
;;;;;;
"Diharapkan jika ingin kesini menginap pesan dulu penginepan dari jauh-jauh hari, jangan dadakan apalagi jika kesininya pas liburan atau weekend, pasti rame.."",""daerahnya indah .. jalur dieng mempesona kabut , `` negeri awan '' . penginepannya rata-rata homestay , ya penginapan lumayan enak , hotel penginepan model ko kosan exlus ? pagi pasar kejajar ditemukan jajanan tradision ( bu dieng plateau murah tarifnya rp.2000 ) . makanan wajib dicoba dieng mie ongklok , carica , temp kemul wedang purwaceng ( origin , +kopi +susu ) diharapkan kesini menginap pesan penginepan jauh-jauh , dadakan kesininya pa liburan weekend , rame .."",negative,""[{'label': 'negative', 'score': 0.8803561925888062}]"",0.8803561925888062";;;;;;
"1680415691-170,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,AyuOkta,Mengesankan,""Saya datang saat Dieng Culture Festival 5, backpacker bersama teman dan tidak pesan tiket online. Tidak dapat homestay karna full wisatawan. Namun homestay putri mengizinkan kami tidur di ruang tamunya hehehe. Banyak wisata di dieng plateau yaitu candi, kawah, telaga warna, telaga balaikambang, airterjun, sunrise sikunir, gunung prau dan masih banyak lagi.";;;;;;
Saat festival ada acara adat potong rambut anak gimbal, 1000 lampion dan jazz di atas awan.;;;;;;
